t=2026-04-08T09:50:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-08T09:50:20+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-04-08T09:50:20+0530 lvl=info msg="open config file" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-04-08T09:50:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T09:50:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T09:50:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T09:50:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T09:51:10+0530 lvl=info msg="join connections" obj=join id=2efc3e958f3e l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:51:35+0530 lvl=info msg="join connections" obj=join id=ef1e97270a57 l=[::1]:5173 r=52.112.125.9:9049
t=2026-04-08T09:51:56+0530 lvl=info msg="join connections" obj=join id=31789b352e7e l=[::1]:5173 r=52.112.49.157:16449
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=4d5efdbf5d0c l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=afb3e812779d l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=2a1bf03ed808 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=78507751962e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=34cda8d209fa l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=1cbbb0402a10 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=0c1046b34992 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=5f95b07510d6 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=50d70fa3cc23 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=4da09cd997df l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=1192321c43ed l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=883a47a01ed5 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=cf0d1bfa92fd l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=a822e61a712e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=5a4577aa8c38 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=7fcec0f1341e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=06facbd4d943 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=adf5588259e2 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=7f31960e9477 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=a1d1bcf5a505 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=53d712bc3111 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=0e0db6d44674 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=e9189164184e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=ec7089b3e466 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=03a3a83b75bb l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
t=2026-04-08T09:52:56+0530 lvl=info msg="join connections" obj=join id=c8b7e9e38e55 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:61930
